0,2,61,53,0,18,39,2,0,0,1,58,1,5,2,2,30
0,0,1,0,0,9,0,117,76,9,2,39,48,4,25,7,0
1,1,0,0,19,40,0,1,0,3,4,0,10,5,0,0,0
1,1,2,2,0,0,0,0,0,0,0,3,0,2,0,0,1
0,0,1,0,0,0,3,0,0,0,0,5,5,1,0,1,0
1,1,21,2,0,1,7,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,2,0,4,0,0,0,5,0,1,0,0,0
0,0,0,0,4,1,0,3,0,0,0,3,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13,0,0,5,3,2,90,3,1,5,1,2,1,6,3
0,0,0,0,0,3,0,2,1,0,0,20,3,0,7,11,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,6,0,1,141,4,180,1019,8,11,188,83,135,7,2,0
4,0,0,0,1,10,0,4,3,1,3,11,7,3,3,1,0
6,0,0,0,0,9,0,69,555,67,0,77,29,9,17,41,0
0,2,0,0,4,2,0,7,0,1,0,4,0,5,1,0,0
0,0,0,0,3,530,0,0,137,0,135,167,191,0,3,0,0
0,0,1,1,21,7,0,0,0,0,0,0,0,1,0,0,1
0,0,3,3,0,0,1,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,4,0,94,34,0,0,29,28,0,0,0,0
0,0,7,2,0,2,11,0,0,0,0,0,0,0,2,0,0
0,0,2,0,0,0,1,0,0,0,0,4,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
19,18,77,11,1,59,0,113,154,11,25,110,12,11,52,11,0
0,26,29,4,13,428,394,704,1199,169,60,345,187,17,13,36,0
5,3,7,0,4,14,22,24,28,6,5,30,13,47,3,5,0
37,85,25,13,0,278,48,7,96,0,80,166,27,96,27,0,1
0,5,4,1,3,5,0,1,4,1,11,18,1,12,0,1,0
0,0,0,0,14,1,2,5,4,10,1,24,19,51,2,12,0
0,0,46,1,0,0,274,2,2,11,1,21,0,0,0,1,11
1,2,28,2,0,21,5,0,0,0,7,48,0,0,1,0,5
0,1,0,0,0,1,0,7,4,2,0,1,2,0,2,0,0
0,1,1,0,0,0,1,0,0,0,0,2,0,2,3,1,0
0,0,0,0,0,4,0,3,0,3,0,77,10,0,2,0,0
0,0,0,0,0,0,0,2,0,1,1,1,2,0,0,0,0
0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2,0,0,2,35,0,37,11,0,9,348,11,81,22,6,0
6,2,0,0,0,12,0,5,10,16,6,8,14,5,1,0,0
0,0,0,0,0,50,0,2,14,2,0,1,1,5,1,0,0
0,0,0,4,0,8,0,8,0,0,4,15,127,3,0,0,0
0,0,0,0,0,0,0,0,0,0,109,52,75,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0
0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
